"sample"	"assay"	"mouse_id"	"tissue"	"timepoint"	"project"	"batch"	"treatment"	"genotype"	"sex"	"sample_date"	"dob"	"dod"	"sample_weeks"	"age_at_end"	"age_at_start"	"age_at_sample"	"samtools.flagstat_total"	"samtools.mapped_passed"	"biotype_counts.percent_rRNA"	"dupradar.dupRadar_intercept"	"picard.PERCENT_DUPLICATION"	"qualimap.5_3_bias"	"qualimap.reads_aligned"	"rseqc.proper_pairs_percent"	"salmon.percent_mapped"	"salmon.num_mapped"	"samtools.error_rate"	"samtools.non_primary_alignments"	"samtools.reads_mapped"	"samtools.reads_properly_paired_percent"	"samtools.reads_MQ0_percent"	"samtools.raw_total_sequences"	"star.uniquely_mapped_percent"	"star.uniquely_mapped"	"fastqc_raw.percent_duplicates"	"fastqc_raw.percent_gc"	"fastqc_raw.percent_fails"	"fastqc_raw.total_sequences"	"fastqc_trimmed.percent_duplicates"	"fastqc_trimmed.percent_gc"	"fastqc_trimmed.avg_sequence_length"	"fastqc_trimmed.percent_fails"	"fastqc_trimmed.total_sequences"	"myeloid"	"CML_space"	"myeloid_class"	"state_class"	"time_class"	"Group"	"HSA_ABL1_gene"	"HSA_BCR_ABL1_gene"	"HSA_BCR_gene"	"HSA_MYH11_gene"	"state_chr"	"myeloid_chr"	"old.state_class"	"rx_class"	"group_name"	"state_rx"	"old.CML_space"	"old.state_chr"	"old.state_rx"
"COHP_46939"	"mRNA"	"477"	"PBMC"	"0"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-11-24	2020-09-12	2021-01-19	0	17.4	10.4	10.4	148787029	148787029	0.108046201901837	0.0882843149291573	0.466412	1.04	45279731	30.9790754676606	66.8417119961179	33727358	0.002305747	58192210	90594819	99.9609723818754	3.76416669037111	90594819	66.06	33330935	67.1513212189923	51	9.09090909090909	50543199	66.7977863778303	51.5	98.8563415884194	13.6363636363636	50458549	9.4	65.6856987622197	0	2	1	"B"	0.49448	0	0.218176	0	"c2"	"c1"	0	NA	"CML"	"c2"	65.6856987622185	"c1"	"c1"
"COHP_46940"	"mRNA"	"477"	"PBMC"	"1"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-12-01	2020-09-12	2021-01-19	1	17.4	10.4	11.4	190482358	190482358	0.267263731622207	0.0817429874201188	0.620259	1.01	45578206	17.0678945501084	77.487313595851	41482122	0.002055327	99287409	91194949	99.9577421771462	7.16158852175026	91194949	50.97	27288186	81.157628899421	53	18.1818181818182	53627685	80.8108867365151	53	98.8226337195807	18.1818181818182	53534082	26.1	-44.2412395065454	0	2	1	"B"	0.593641	0	0.260113	0	"c2"	"c1"	0	NA	"CML"	"c2"	-44.241239506546	"c1"	"c1"
"COHP_46941"	"mRNA"	"477"	"PBMC"	"2"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-12-08	2020-09-12	2021-01-19	2	17.4	10.4	12.4	146764833	146764833	0.176834196626845	0.0680380397631381	0.3343	1.05	56409548	49.1898900603798	62.0744053518942	36993551	0.002757044	33856233	112908600	99.9207288018805	1.48060555174717	112908600	80.86	48186733	58.211269354827	51.5	9.09090909090909	59779182	57.7271600003705	51.5	98.674677271763	13.6363636363636	59595498	49.6	-101.111110820097	1	2	1	"B"	2.39644	2.201708	1.108331	0	"c2"	"c2"	1	NA	"CML"	"c2"	-101.111110820098	"c2"	"c2"
"COHP_46942"	"mRNA"	"477"	"PBMC"	"3"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-12-15	2020-09-12	2021-01-19	3	17.4	10.4	13.4	103221697	103221697	0.199488575715842	0.0680631114199583	0.31919	1.04	41089165	52.0493535385298	63.4994664810109	28432109	0.002677273	21000306	82221391	99.9476279840607	0.987769715547624	82221391	79.48	35586261	59.5412856355304	51.5	9.09090909090909	44866526	59.1937760758857	51.5	99.0219108500121	13.6363636363636	44775351	57.9	-134.654011696689	1	2	1	"B"	2.872187	1.903192	1.324025	0	"c2"	"c2"	1	NA	"CML"	"c2"	-134.654011696689	"c2"	"c2"
"COHP_46943"	"mRNA"	"477"	"PBMC"	"4"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-12-22	2020-09-12	2021-01-19	4	17.4	10.4	14.4	190187063	190187063	0.133476078416745	0.0835145018989233	0.514093	1.06	57538590	27.9219601808563	81.2249296692518	49558460	0.002220669	75034537	115152526	99.9345685217535	4.19970465953999	115152526	68.25	41643584	74.8790547815434	53.5	9.09090909090909	61179480	74.5459052640086	53.5	98.8930552559424	9.09090909090909	61013854	63.6	-194.313413497132	2	3	1	"B"	8.130993	3.980414	3.189839	0	"c3"	"c3"	1	NA	"CML"	"c3"	-194.313413497132	"c2"	"c2"
"COHP_46944"	"mRNA"	"477"	"PBMC"	"5"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2020-12-29	2020-09-12	2021-01-19	5	17.4	10.4	15.4	126409630	126409630	0.154174812422511	0.0687858751756188	0.314259	1.08	52173283	54.4542642835044	66.4468766727374	36790108	0.002715034	21989899	104419731	99.9299318248579	0.841691499856478	104419731	83.48	46219318	60.1949109541075	52	9.09090909090909	55517880	59.7946513906466	52	98.9013177736963	9.09090909090909	55367701	78.5	-214.906240588892	2	3	2	"B"	17.855995	14.726313	7.923166	0	"c3"	"c3"	2	NA	"CML"	"c3"	-214.906240588891	"c3"	"c3"
"COHP_46945"	"mRNA"	"477"	"PBMC"	"6"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2021-01-05	2020-09-12	2021-01-19	6	17.4	10.4	16.4	158987263	158987263	0.407666188284217	0.145940096020445	0.598687	1.09	43844443	20.9007963109598	72.7048584550351	36561058	0.002968954	71237471	87749792	99.9305912884671	5.17541967506886	87749792	57.53	28927684	77.9372715969187	57	22.7272727272727	50486287	77.4756048542427	57	98.479904240768	22.7272727272727	50286953	77.3	-231.591514617792	2	3	2	"B"	15.03165	10.59309	7.733541	0	"c3"	"c3"	2	NA	"CML"	"c3"	-231.591514617792	"c3"	"c3"
"COHP_46946"	"mRNA"	"477"	"PBMC"	"7"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"F"	2021-01-12	2020-09-12	2021-01-19	7	17.4	10.4	17.4	134174936	134174936	0.273302966691131	0.0658262697940844	0.289277	1.05	55779845	57.044342469446	61.4999810183501	36384866	0.002702857	22532856	111642080	99.9262016615957	0.819513574093209	111642080	84.4	49934610	57.3144738864982	51	9.09090909090909	59322819	56.7767091301767	51	98.6627366481841	13.6363636363636	59162402	86.4	-256.909192366419	2	3	2	"B"	29.220365	26.296667	14.218772	0	"c3"	"c3"	2	NA	"CML"	"c3"	-256.909192366418	"c3"	"c3"
"COHP_44940"	"mRNA"	"480"	"PBMC"	"0"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-11-24	2020-09-12	2021-03-30	0	28.4	10.4	10.4	66856773	66856773	0.0932516555024112	0.0609712619091519	0.191125	1.02	29684062	69.4909100683038	45.4062984726832	15983418	0.003694825	7222850	59633923	99.5542822161809	0.494170071621818	59633923	79.76	28075572	38.3186193008872	48.5	13.6363636363636	35774116	37.8787432303479	48.5	97.9494183143076	13.6363636363636	35200883	12.7	143.593843681918	0	1	1	"B"	0.044367	0.37111	0.008689	0	"c1"	"c1"	0	NA	"CML"	"c1"	143.593843681919	"c1"	"c1"
"COHP_44941"	"mRNA"	"480"	"PBMC"	"1"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-01	2020-09-12	2021-03-30	1	28.4	10.4	11.4	126591142	126591142	0.242637801348644	0.0838866905670913	0.553478	1.03	28807077	19.0313047337862	81.2164168082306	29154902	0.003179659	68644555	57946587	99.4263113373701	8.4916925305713	57946587	51.25	18398539	71.2468540692524	52.5	27.2727272727273	36957941	71.3760131171867	52.5	97.9044184999223	27.2727272727273	35897794	22.2	-51.5945941914995	0	2	1	"B"	0.27871	0	0.172006	0	"c2"	"c1"	0	NA	"CML"	"c2"	-51.5945941914998	"c1"	"c1"
