sample,PC1,PC2,assay,mouse_id,tissue,timepoint,project,batch,treatment,genotype,sex,sample_date,dob,dod,sample_weeks,age_at_end,age_at_start,age_at_sample,samtools.flagstat_total,samtools.mapped_passed,biotype_counts.percent_rRNA,dupradar.dupRadar_intercept,picard.PERCENT_DUPLICATION,qualimap.5_3_bias,qualimap.reads_aligned,rseqc.proper_pairs_percent,salmon.percent_mapped,salmon.num_mapped,samtools.error_rate,samtools.non_primary_alignments,samtools.reads_mapped,samtools.reads_properly_paired_percent,samtools.reads_MQ0_percent,samtools.raw_total_sequences,star.uniquely_mapped_percent,star.uniquely_mapped,fastqc_raw.percent_duplicates,fastqc_raw.percent_gc,fastqc_raw.percent_fails,fastqc_raw.total_sequences,fastqc_trimmed.percent_duplicates,fastqc_trimmed.percent_gc,fastqc_trimmed.avg_sequence_length,fastqc_trimmed.percent_fails,fastqc_trimmed.total_sequences,myeloid,CML_space,myeloid_class,state_class,time_class,Group,HSA_ABL1_gene,HSA_BCR_ABL1_gene,HSA_BCR_gene,HSA_MYH11_gene,state_chr,myeloid_chr,old.state_class,rx_class,state_rx,group_name
COHP_44940,0.127817928,-0.038357692,mRNA,480,PBMC,0,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,11/24/20,9/12/20,3/30/21,0,28.4,10.4,10.4,66856773,66856773,0.093251656,0.060971262,0.191125,1.02,29684062,69.49091007,45.40629847,15983418,0.003694825,7222850,59633923,99.55428222,0.494170072,59633923,79.76,28075572,38.3186193,48.5,13.63636364,35774116,37.87874323,48.5,97.94941831,13.63636364,35200883,12.7,-9.711958008,0,0,1,B,0.044367,0.37111,0.008689,0,c1,c1,0,NA,c1,CML
COHP_44941,-0.052195162,0.054967723,mRNA,480,PBMC,1,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,12/1/20,9/12/20,3/30/21,1,28.4,10.4,11.4,126591142,126591142,0.242637801,0.083886691,0.553478,1.03,28807077,19.03130473,81.21641681,29154902,0.003179659,68644555,57946587,99.42631134,8.491692531,57946587,51.25,18398539,71.24685407,52.5,27.27272727,36957941,71.37601312,52.5,97.9044185,27.27272727,35897794,22.2,16.15696692,0,0,1,B,0.27871,0,0.172006,0,c1,c1,0,NA,c1,CML
COHP_44942,0.154320632,0.041520696,mRNA,480,PBMC,2,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,12/8/20,9/12/20,3/30/21,2,28.4,10.4,12.4,91565234,91565234,0.115607685,0.06856359,0.303368,1.05,35331207,51.63782359,61.11857837,25841015,0.003704023,20529571,71035663,99.47456111,1.485828323,71035663,73.06,30889242,51.85049797,51,22.72727273,43794900,51.32815466,51,98.20465847,18.18181818,42280131,48.1,-85.67038626,1,1,1,B,0.430299,1.453523,0.154966,0,c2,c2,1,NA,c2,CML
COHP_44943,0.075541609,-0.096968567,mRNA,480,PBMC,3,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,12/15/20,9/12/20,3/30/21,3,28.4,10.4,13.4,121631760,121631760,0.25241662,0.071888214,0.413951,1.1,36463708,33.48096254,62.05956814,27946661,0.003809775,48303408,73328352,99.45323195,4.55776096,73328352,62.65,28214678,58.53794375,53,22.72727273,46002567,58.1061853,53,97.24068264,18.18181818,45031994,33.8,-52.2254566,0,1,1,B,0.873972,0.367892,0.416323,0.003507,c2,c1,1,NA,c2,CML
COHP_44944,0.138685077,-0.00268905,mRNA,480,PBMC,4,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,12/22/20,9/12/20,3/30/21,4,28.4,10.4,14.4,100614624,100614624,0.280226193,0.09591883,0.337488,1.12,38426036,48.54932221,58.86805607,26028521,0.003698548,23500758,77113866,99.66050982,1.608521352,77113866,74.87,33105387,52.1791943,50.5,9.090909091,44871448,51.91725368,50.5,98.28425424,9.090909091,44215017,31.7,-59.39752329,0,1,1,B,1.245521,0.930028,0.597472,0,c2,c1,1,NA,c2,CML
COHP_44945,0.15091716,0.031145391,mRNA,480,PBMC,5,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,12/29/20,9/12/20,3/30/21,5,28.4,10.4,15.4,116435070,116435070,0.305554862,0.081864204,0.363966,1.06,41246281,43.18585629,58.22388772,29206475,0.004023408,33542918,82892152,99.51793989,2.567008997,82892152,69.05,34639535,55.16737231,53,18.18181818,51184960,54.85912594,52.5,97.78754278,13.63636364,50162358,34.6,-75.32579642,0,1,1,B,1.716007,1.19714,0.745302,0,c2,c1,1,NA,c2,CML
COHP_44946,0.101558204,-0.043190433,mRNA,480,PBMC,6,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,1/5/21,9/12/20,3/30/21,6,28.4,10.4,16.4,99496377,99496377,0.19296883,0.054164894,0.400153,1.08,29386541,33.60570607,68.93235446,24193327,0.003590059,40526733,58969644,99.66667257,4.701988705,58969644,63.99,22456970,60.14094935,53.5,18.18181818,35975533,59.74514318,53.5,98.10901735,18.18181818,35097201,42.6,-67.96308682,1,1,1,B,3.112971,5.188656,1.493186,0,c2,c2,1,NA,c2,CML
COHP_44947,0.094506089,0.02992773,mRNA,480,PBMC,7,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,1/12/21,9/12/20,3/30/21,7,28.4,10.4,17.4,102555997,102555997,0.467711236,0.056918031,0.40086,1.05,31593760,35.12603363,68.38617769,26266527,0.003643765,39050380,63505617,99.49910415,4.088969012,63505617,63.68,24457354,59.51920111,53,22.72727273,39250747,59.25608468,52.5,97.82393545,22.72727273,38409117,39.9,-58.79688256,1,1,1,B,6.617201,8.654403,3.006224,0,c2,c2,1,NA,c2,CML
COHP_44948,0.095317152,-0.023007014,mRNA,480,PBMC,8,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,1/19/21,9/12/20,3/30/21,8,28.4,10.4,18.4,87334491,87334491,0.204637973,0.067611066,0.418346,1.06,29132614,36.81259676,65.14731729,25242418,0.003930907,28720825,58613666,99.40553454,2.953449457,58613666,59.51,23059161,62.93215181,54.5,18.18181818,39673361,62.78783205,54.5,97.80293418,18.18181818,38746673,42.9,-67.96800009,1,1,1,B,8.616083,9.633098,4.060759,0,c2,c2,1,NA,c2,CML
COHP_44949,0.16189694,0.056706074,mRNA,480,PBMC,9,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,1/26/21,9/12/20,3/30/21,9,28.4,10.4,19.4,89251765,89251765,0.111490279,0.060331732,0.284342,1.05,36712163,56.57624138,59.44363388,25410624,0.003641627,15625103,73626662,99.72518651,0.935551037,73626662,76.85,32852438,51.76987216,51,9.090909091,43508964,51.2688525,51,98.27134791,9.090909091,42747427,39.1,-86.29776259,1,1,1,B,13.632394,13.507033,6.19324,0,c2,c2,1,NA,c2,CML
